storeNo,productNo,price,stock
1,A01,2099,19594
2,A02,5599,21888
3,A03,4799,37577
3,A04,7099,12957
3,A05,6799,16662
4,A06,5699,80922
5,A07,5599,65418
6,A08,2787,76066
7,A09,4819,16283
6,A10,2999,2759
8,A11,5799,42517
7,A12,7999,8252
9,A13,5499,24606
10,A14,5499,10215
4,A15,6899,15226
11,A16,3799,11327
12,A17,4688,45155
13,A18,2399,21657
14,A19,1678,23002
5,A20,4099,88097
15,A21,5299,49267
16,A22,7499,67453
17,A23,4099,85729
18,A24,4549,37191
9,A25,2399,5491
19,A26,4498,19529
15,A27,5299,76802
13,A28,2799,65557
20,A29,5688,11176
2,A30,17299,21681
21,A31,6999,55437
8,A32,7499,2838
10,A33,4899,58700
22,A34,4449,53377
11,A35,5899,45440
23,A36,12299,45156
24,A37,4399,56358
23,A38,4399,53335
25,A39,2299,16168
24,A40,3499,47126
26,A41,2098,11966
27,A42,3299,77918
28,A43,5788,90008
29,A44,4499,31668
16,A45,5799,18168
28,A46,4598,93257
30,A47,4399,84936
31,A48,5999,86985
32,A49,1599,37304
33,A50,2699,49155
22,A51,4449,20985
34,A52,1334,56698
35,A53,3599,62771
30,A54,3699,94614
36,A55,4799,26246
22,A56,5699,17104
29,A57,4199,46488
3,A58,4799,85016
3,A59,7099,14275
6,A60,6499,84666
4,A61,5199,64097
7,A62,4499,2175
6,A63,4599,65504
5,A64,4899,2093
4,A65,4899,57521
15,A66,4299,9695
13,A67,5499,24460
5,A68,16699,63847
10,A69,9499,73047
15,A70,6999,1802
8,A71,5999,85927
9,A72,2799,47506
2,A73,9199,15303
8,A74,5499,78720
2,A75,4799,12134
13,A76,2299,73325
7,A77,6999,53109
37,A78,12599,13084
31,A79,5599,95356
28,A80,5788,69102
38,A81,2499,66351
29,A82,3599,7563
39,A83,5499,38092
9,A84,2599,30179
11,A85,3599,80709
40,A86,12099,54387
12,A87,6599,66326
12,A88,5799,92929
29,A89,5499,3354
28,A90,4288,30512
41,A91,2299,27753
42,A92,5499,46103
43,A93,2499,12117
44,A94,5699,68000
31,A95,2699,62756
31,A96,5599,30764
10,A97,5999,96901
36,A98,2399,32844
45,A99,6999,49768
11,A100,2899,61553
16,A101,13299,92190
42,A102,5399,61719
46,A103,1678,86435
44,A104,5699,65312
36,A105,3699,69485
47,A106,5288,77044
48,A107,2499,24742
16,A108,5699,28354
49,A109,2750,87337
35,A110,2599,19861
35,A111,7499,52150
50,A112,3248,66679
51,A113,3248,12619
3,A114,5199,73399
3,A115,7499,52430
6,A116,5999,47046
6,A117,5148,34673
4,A118,13499,49351
4,A119,6899,39086
15,A120,3799,94894
15,A121,8599,851
5,A122,6099,43158
5,A123,5099,10545
8,A124,12499,4172
8,A125,5399,84560
2,A126,7099,53885
2,A127,5599,6982
13,A128,3199,96078
28,A129,4488,51194
10,A130,3699,36321
28,A131,6288,97343
29,A132,2299,14836
12,A133,6599,82190
29,A134,2849,73413
10,A135,6769,50144
13,A136,3799,55202
10,A137,4899,80199
38,A138,2499,35922
52,A139,10100,52928
7,A140,6699,76016
53,A141,3499,1020
30,A142,5499,47173
18,A143,6999,9486
22,A144,2599,79218
20,A145,4999,68079
19,A146,6998,90668
35,A147,4299,71303
25,A148,5499,13907
54,A149,5150,96687
31,A150,2299,55706
12,A151,9499,14170
55,A152,3800,27997
19,A153,5298,71429
42,A154,5599,30770
51,A155,3348,22420
22,A156,8999,77036
36,A157,4599,80848
56,A158,2699,56650
37,A159,3299,89765
43,A160,4999,16246
1,A161,2099,29764
43,A162,2099,78315
35,A163,3999,70333
31,A164,2349,28991
16,A165,4399,91921
9,A166,4399,6655
42,A167,4599,96863
7,A168,4199,9883
24,A169,1799,57745
3,A170,4199,41999
3,A171,4999,70834
6,A172,4999,58958
6,A173,6599,22731
4,A174,6399,27866
4,A175,6899,95733
5,A176,2599,83769
5,A177,6499,40270
15,A178,4799,16379
15,A179,2199,39121
8,A180,6499,87839
52,A181,10100,7998
29,A182,3599,70831
13,A183,2399,30717
8,A184,6299,5842
28,A185,6399,21923
13,A186,3799,43491
2,A187,2649,46972
28,A188,5788,41231
22,A189,2699,39677
19,A190,7498,83028
43,A191,5699,59365
29,A192,6299,21785
12,A193,4799,29727
35,A194,6699,29575
35,A195,12099,18066
20,A196,4399,55715
41,A197,3099,19227
30,A198,3399,90073
50,A199,3788,88217
7,A200,3299,21256
25,A201,4699,79579
20,A202,13149,23782
19,A203,3798,65469
25,A204,13688,83646
12,A205,6699,50606
43,A206,4299,43105
13,A207,4699,34307
31,A208,2799,23995
9,A209,3099,97911
16,A210,8899,89765
9,A211,3398,82755
11,A212,5699,36874
10,A213,6249,88985
22,A214,6899,34136
11,A215,4299,22866
29,A216,4199,87094
57,A217,4299,54033
31,A218,4999,87144
58,A219,3578,4595
59,A220,3148,23619
48,A221,5999,10605
48,A222,4999,72371
60,A223,5399,52673
16,A224,7199,60417
7,A225,4199,89329
4,A226,5699,39741
29,A227,4199,89805
1,A228,1999,40805
3,A229,5099,34621
3,A230,6299,4134
6,A231,5499,17700
6,A232,5599,62930
15,A233,3999,27300
5,A234,7949,18386
8,A235,9599,86172
4,A236,5199,91253
8,A237,5499,18290
15,A238,2299,28279
5,A239,4799,61418
4,A240,4699,42972
28,A241,5788,74274
35,A242,5999,5987
28,A243,7799,54851
35,A244,9499,84614
13,A245,5299,50770
29,A246,4899,14728
22,A247,4999,14046
22,A248,4799,95927
29,A249,6049,19638
43,A250,5499,3219
19,A251,5498,26555
11,A252,6999,17185
20,A253,5149,30395
43,A254,2499,99103
13,A255,7999,55875
19,A256,13280,18096
25,A257,4999,18762
37,A258,3599,32941
61,A259,1699,23292
45,A260,6999,57406
62,A261,9699,17554
48,A262,3999,18869
63,A263,4099,22763
7,A264,3899,30288
31,A265,4149,50480
31,A266,3999,24781
30,A267,5599,2219
24,A268,3099,2084
29,A269,4199,15535
13,A270,2799,2654
64,A271,5499,91237
2,A272,5299,18384
36,A273,5499,93571
64,A274,4699,11645
65,A275,5999,8224
23,A276,4499,26839
16,A277,15499,9288
66,A278,2498,52995
67,A279,4300,35531
68,A280,2999,42683
47,A281,5498,22998
12,A282,2799,12954
25,A283,6699,14706
3,A284,7999,74901
3,A285,5599,44442
6,A286,3999,62928
6,A287,7699,61965
8,A288,5599,19450
15,A289,5499,77045
15,A290,2399,70272
8,A291,3879,32395
4,A292,3399,83381
4,A293,6899,31875
5,A294,5299,65056
5,A295,6799,2419
35,A296,5699,5779
35,A297,2399,83169
29,A298,5649,89146
43,A299,7099,29458
22,A300,2799,91436
22,A301,6299,8973
29,A302,3799,87122
43,A303,3099,1086
13,A304,4999,75514
64,A305,14888,23944
31,A306,4499,22082
64,A307,6999,90371
28,A308,5499,20120
1,A309,5499,43733
68,A310,5599,33671
42,A311,2899,19055
62,A312,2599,40859
28,A313,2688,29015
41,A314,5099,33515
44,A315,2899,99309
68,A316,4999,49337
69,A317,5099,27339
31,A318,2799,66096
30,A319,4799,91269
13,A320,2199,80884
36,A321,2799,92281
10,A322,4499,21649
70,A323,7999,61831
30,A324,2999,54790
2,A325,3999,69736
41,A326,4099,50401
71,A327,2799,45499
72,A328,5800,25261
73,A329,4199,39036
48,A330,4599,76997
34,A331,2455.2,66519
72,A332,5100,88302
33,A333,4388,32294
74,A334,2988,22620
20,A335,6299,53911
75,A336,5899,26109
3,A337,8899,51876
3,A338,2299,7926
6,A339,4399,4422
6,A340,7499,56120
15,A341,18999,177
8,A342,4699,16164
15,A343,3399,43959
4,A344,9699,24641
8,A345,5969,27709
4,A346,5699,9043
5,A347,6799,14531
5,A348,2699,81151
35,A349,5099,38934
35,A350,5299,6160
22,A351,4599,97957
29,A352,6899,4365
64,A353,3199,80684
64,A354,4499,24505
22,A355,5199,79569
68,A356,3999,67554
28,A357,6799,41082
48,A358,1999,28179
76,A359,412.99,11008
77,A360,4099,52536
59,A361,5998,88282
78,A362,1000,73009
79,A363,1144.6,63020
80,A364,1698,65022
18,A365,3799,25246
81,A366,4399,9869
19,A367,5298,4103
70,A368,4988,97713
11,A369,5799,45820
82,A370,399,2730
83,A371,4200,70887
58,A372,4848,2849
47,A373,4398,99031
84,A374,349,92149
51,A375,3588,2671
45,A376,5299,78170
18,A377,5430,91996
37,A378,5349,17616
85,A379,1350,46160
86,A380,1144.6,26668
87,A381,4399,22408
88,A382,1484.01,55745
79,A383,624,50988
28,A384,4899,13239
89,A385,3599,98345
67,A386,4700,22334
90,A387,650,67723
91,A388,4199,77021
92,A389,630,14276
3,A390,4499,90188
3,A391,7599,54165
6,A392,6999,33309
6,A393,3399,98111
15,A394,3799,55513
8,A395,9499,40940
15,A396,4999,23839
8,A397,6699,74646
4,A398,2699,5004
4,A399,6199,27084
35,A400,4799,65914
35,A401,6699,55063
64,A402,13288,21636
64,A403,8999,19168
19,A404,4398,45902
19,A405,11448,69087
58,A406,4548,15503
32,A407,1788,85283
23,A408,4584,10647
79,A409,1323,57442
93,A410,588,99483
94,A411,3100,99267
67,A412,2488,78928
67,A413,5259,88514
56,A414,5499,67100
95,A415,1250,92266
96,A416,1030,54750
37,A417,3599,46965
47,A418,3800,95350
97,A419,4380,7750
47,A420,5498,88015
32,A421,1599,12629
69,A422,5249,99218
12,A423,3699,80433
98,A424,412.99,18734
99,A425,880,40738
86,A426,380.24,47161
100,A427,349,86408
101,A428,1650,48960
102,A429,288,95362
103,A430,410,78878
59,A431,4748,23837
104,A432,4500,52303
55,A433,1999,21079
89,A434,8699,87385
105,A435,1999,60428
106,A436,2980,44128
107,A437,700,46710
108,A438,5200,25582
109,A439,8999,63779
101,A440,1820,36770
18,A441,5498,66417
107,A442,500,34832
3,A443,7799,46444
3,A444,2499,30872
6,A445,4599,98265
6,A446,4999,28692
8,A447,2799,74972
15,A448,2999,26975
8,A449,4449,11483
15,A450,2799,13339
4,A451,2699,85268
35,A452,5999,17946
35,A453,5999,91461
64,A454,5999,60239
64,A455,8999,91860
19,A456,4498,30329
61,A457,1699,42870
110,A458,2830,47168
111,A459,1198,38223
112,A460,3098,9345
59,A461,5850,13523
113,A462,499,29282
47,A463,13280,51092
114,A464,5499,22921
115,A465,3399,86753
105,A466,11200,78375
116,A467,8000,31977
34,A468,1480,46753
56,A469,8999,15306
40,A470,4499,6072
117,A471,5399,23908
118,A472,7999,73497
18,A473,7499,68377
37,A474,5349,75864
51,A475,5488,30074
47,A476,7488,42088
92,A477,412.8,74625
33,A478,3199,16343
59,A479,6648,75982
79,A480,1370.25,18454
117,A481,5399,27570
83,A482,6600,89136
119,A483,5499,89223
78,A484,580,24613
61,A485,1699,53080
101,A486,1650,69376
120,A487,599,91099
121,A488,9999,13913
18,A489,4399,16533
122,A490,4169,40140
112,A491,11698,20798
123,A492,3950,75732
104,A493,5499,91602
94,A494,3350,76414
124,A495,659,90654
3,A496,8699,15108
3,A497,7499,58458
6,A498,5499,27664
6,A499,4899,46031
8,A500,4149,23797
8,A501,7699,49847
15,A502,5599,39170
15,A503,2299,52614
35,A504,5499,8922
35,A505,14599,22822
64,A506,7299,35440
64,A507,5599,37132
32,A508,4799,81793
51,A509,4388,11718
125,A510,4200,52392
63,A511,1699,97590
126,A512,2900,26693
127,A513,416.5,66109
45,A514,4399,44911
128,A515,6450,69539
55,A516,6250,59953
129,A517,999,60074
55,A518,4550,25412
105,A519,7900,28978
130,A520,30,88817
78,A521,1300,85808
19,A522,4598,15638
107,A523,380,15521
79,A524,637,94763
131,A525,5500,72491
132,A526,4588,42534
81,A527,1599,23738
89,A528,3599,9460
33,A529,1448,15893
63,A530,4199,97527
133,A531,999,32776
134,A532,350,26772
34,A533,1237.5,93215
135,A534,680,84102
56,A535,7299,28266
47,A536,6999,39451
136,A537,3599,44309
137,A538,630,16433
47,A539,3899,66649
86,A540,1144.6,29292
138,A541,1650,9449
139,A542,12999,18093
45,A543,4899,35988
140,A544,4999,66761
141,A545,11999,70518
18,A546,4549,69835
105,A547,5200,21307
142,A548,4900,60355
3,A549,3099,27611
3,A550,4399,84771
6,A551,3599,87037
6,A552,6899,78064
8,A553,10749,33671
8,A554,7999,39719
15,A555,5999,63681
35,A556,5699,26506
35,A557,6399,68880
55,A558,5300,27971
143,A559,1450,78029
112,A560,1877,75797
144,A561,833,57799
110,A562,3100,23712
93,A563,588,74656
77,A564,3699,23576
110,A565,2800,29917
145,A566,770,96925
94,A567,1900,39636
63,A568,3549,98273
140,A569,4999,11235
114,A570,4899,36460
146,A571,1299,98843
123,A572,4399,36456
147,A573,30,2309
148,A574,2999,36579
140,A575,6299,9952
149,A576,3799,70171
150,A577,1450,93206
18,A578,13888,40571
101,A579,1430,79099
151,A580,4749,62048
152,A581,3269,54985
144,A582,1225,47453
23,A583,4079,2001
104,A584,4499,37535
153,A585,3299,96040
112,A586,6998,13900
154,A587,1699,80329
155,A588,699,87699
122,A589,3499,53943
156,A590,165,88746
18,A591,18499,34696
33,A592,1788,33425
85,A593,2300,17745
55,A594,5400,20321
157,A595,1600,29301
158,A596,2989,88559
159,A597,950,72190
100,A598,349,13278
67,A599,4500,59117
160,A600,4299,73543
161,A601,2250,45425
3,A602,8999,8654
3,A603,6999,85156
6,A604,5399,18396
6,A605,2199,36709
8,A606,6799,17377
8,A607,5899,1692
35,A608,3099,6699
35,A609,4599,14375
110,A610,2350,18607
110,A611,1870,86434
138,A612,4299,92060
137,A613,480,40285
162,A614,358,28244
163,A615,378,98603
164,A616,315,97291
134,A617,450,77935
76,A618,340,88518
139,A619,12150,38912
51,A620,3499,64049
165,A621,1650,90143
117,A622,5250,22689
164,A623,240,34027
58,A624,2848,13955
18,A625,2000,97684
166,A626,6099,4212
167,A627,930,13110
144,A628,862.4,74017
168,A629,360,67495
169,A630,1080,99345
170,A631,1600,5538
81,A632,1749,47403
171,A633,6099,56166
172,A634,1600,11334
173,A635,1480,81586
174,A636,388,50700
175,A637,1176,59194
176,A638,2949,54773
150,A639,2300,3229
177,A640,1399,86960
178,A641,368,76650
179,A642,1499,26915
81,A643,1799,90482
137,A644,560,55984
47,A645,2078,16258
70,A646,398,20540
180,A647,1799,82508
181,A648,2988,32886
144,A649,685.02,10235
128,A650,4550,75634
86,A651,1309.5,36795
149,A652,2950,83669
86,A653,380.24,77481
101,A654,2750,88975
3,A655,5299,28614
3,A656,5399,7000
6,A657,2499,33307
8,A658,4899,55348
6,A659,2799,98170
8,A660,2699,43545
35,A661,3899,35131
35,A662,4299,59050
89,A663,4399,61433
182,A664,950,22880
183,A665,6500,58476
105,A666,12900,16985
19,A667,2098,2779
86,A668,429.24,59329
55,A669,4000,46518
117,A670,2050,76773
150,A671,1250,26949
18,A672,13250,60320
184,A673,238,87254
77,A674,3399,26544
185,A675,3099,8728
122,A676,2020,28268
58,A677,4698,35599
186,A678,2748,7194
187,A679,3499,31100
188,A680,3150,82298
95,A681,1200,94243
147,A682,19,85867
189,A683,3350,4689
144,A684,1156.4,3555
91,A685,1599,44648
146,A686,1150,29051
156,A687,245,27755
45,A688,4099,32884
59,A689,3098,19425
99,A690,880,62649
121,A691,6899,92567
178,A692,375,21975
190,A693,28,62421
138,A694,4799,96061
191,A695,290,63048
51,A696,1999,29583
137,A697,450,21647
192,A698,13499,21391
193,A699,285,20778
194,A700,3499,22295
140,A701,7299,96561
175,A702,833,7826
195,A703,30,96720
196,A704,290,92836
156,A705,300,6992
51,A706,1988,73375
197,A707,413.08,27525
3,A708,5499,50157
3,A709,3399,89556
8,A710,5999,10160
8,A711,5299,7877
98,A712,315,45170
103,A713,260,14691
198,A714,320,54929
136,A715,2399,39663
51,A716,4569,54733
128,A717,4150,55636
110,A718,1980,12166
105,A719,1900,83806
174,A720,388,90302
199,A721,669,22233
59,A722,2798,36966
200,A723,5399,15794
147,A724,45,35239
81,A725,13499,23059
194,A726,3199,75785
81,A727,1799,49356
145,A728,380,2661
