productNo,name,description,category_third_name
A01,HP惠普台式机电脑285/282/288/280G3G4i3-7100独显固态带键鼠小主机箱商用办公财务整机全套可装XP同战99,https://click.simba.taobao.com/cc_im?p=%BB%DD%C6%D5%B5%E7%C4%D4&s=2024471702&k=685&e=jUH2MQEPJ%2BSp7K441Xl5gYiCPF4zs%2FLvnpAVITFFwjYSd6n9R1R%2FRsiXz4WnuF1TT0og7VpOoj2O8NB%2Bf%2FTlZosdOV%2FNm0eD9a7Z7hzbCtROyfX4199PZ9Yf5d0ZlQs78awvU34SSXSFqBMjhN9mohQL9LD%2B6ip%2BPNmUfITn7ddJUM442ISsiBtHGy2OrqPeQDFC6pCGiJBQ4Z07NncurW8n3V9P%2FFQVzE9Pyqd%2BC5gYNplS2MZkhFCVnGAsr2khO9mXaVr5HYs4FfyouiI%2FnXAZgf5RvsgXOWxMjAAjrpfvYtRybeo%2FQ7fLv%2BwLh6NzKfXS9A1LemWL1ualNuBoh227eJy6BGiXIKlzaGkR0iUQ7eby66dc9dEVsb0MkDf8Y4pMAS5kc1BTy2phh6%2BvcHuaOeQ2GeDgYB8G9XNilsyYLpEfTguvXIYUnQ3d5eu%2FEtX6bfZg1vUbWTiP1ggVdnDkLqS5tzE8na2PEi5nlxpxtRbw%2FyZNnuYdC7McEvION7EU3o0vEI9jdxIyDuSkSyLBlslWeWQpe5o55DYZ4ODouyvwvs4pTTChMFnVdmVoEO3m8uunXPVjFyWNzYKhHF23irkEkPJ9YY8p%2FHWQU61fmH9biSmMS4EMD4noG0X1el%2FHE0bF74xtOkMerwSLFwxHLHvsKp2qSVtLfUnVDUY%3D,惠普电脑
A02,【暗影精灵5代】HP/惠普暗影光影精灵暗影精灵5代Pro9代处理器吃鸡游戏本暗夜精灵5代学生游戏笔记本电脑,https://detail.tmall.com/item.htm?id=563177499972&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=12,惠普电脑
A03,【限时立减300】HP/惠普星14青春版14英寸窄边框笔记本电脑学生游戏本轻薄便携办公手提电脑旗舰店官网,https://detail.tmall.com/item.htm?id=590003827140&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=12,惠普电脑
A04,【新品进化】HP/惠普英特尔酷睿i5光影精灵5暗影精灵5代游戏本九代吃鸡游戏笔记本电脑官方旗舰店官网,https://detail.tmall.com/item.htm?id=594727679753&ns=1&abbucket=12,惠普电脑
A05,【新品推荐】HP/惠普畅游人新品游戏本英特尔酷睿i7光影精灵5暗影精灵游戏笔记本电脑官方旗舰店官网,https://detail.tmall.com/item.htm?id=594741015682&ns=1&abbucket=12,惠普电脑
A06,惠普暗影精灵5暗夜精灵光影精灵1660ti手提电脑笔记本2019款I5笔记本电脑游戏本,https://detail.tmall.com/item.htm?id=594772936295&ns=1&abbucket=12,惠普电脑
A07,新品【暗影精灵5代】HP/惠普光影精灵五代暗夜精灵5pro吃鸡游戏本144HZ电竞屏学生办公设计游戏笔记本电脑,https://detail.tmall.com/item.htm?id=594932385306&ns=1&abbucket=12,惠普电脑
A08,【3期免息】HP/惠普星14S青春版14英寸微窄边框轻薄便携商务办公学生手提超薄电脑笔记本电脑,https://detail.tmall.com/item.htm?id=590794277623&ns=1&abbucket=12,惠普电脑
A09,HP/惠普暗影精灵5代游戏本暗夜4Pro光影精灵5代学生吃鸡笔记本电脑RTX2060独显i5/i7惠普旗舰店官网同款,https://detail.tmall.com/item.htm?id=569761765404&ns=1&abbucket=12,惠普电脑
A10,【限时减100】HP/惠普星青春版14英寸4G内存轻薄本便携商务办公学生上网本超薄笔记本电脑女全新,https://detail.tmall.com/item.htm?id=569668665394&ns=1&abbucket=12,惠普电脑
A11,HP/惠普暗影精灵5代15.6英寸游戏笔记本电脑144hz电竞屏学生吃鸡GTX1660Ti独显9代i7-9750H处理器暗夜精灵5,https://detail.tmall.com/item.htm?id=594170400707&ns=1&abbucket=12,惠普电脑
A12,HP/惠普暗影精灵5代9代光影暗夜精灵air吃鸡游戏笔记本RTX2060独显学生游戏本笔记本电脑惠普旗舰店官网同款,https://detail.tmall.com/item.htm?id=579349746919&ns=1&abbucket=12,惠普电脑
A13,惠普暗影精灵5光影精灵52019款笔记本电脑游戏本高配i7独显10801660ti144hz轻薄窄边框学生吃鸡游戏本,https://detail.tmall.com/item.htm?id=595979291238&ns=1&abbucket=12,惠普电脑
A14,【暗影精灵5代】HP/惠普暗影幻影精灵5代4代pro九代酷睿144Hz吃鸡游戏本笔记本GTX1660ti/RTX2060独显学生,https://detail.tmall.com/item.htm?id=586630206777&ns=1&abbucket=12,惠普电脑
A15,HP/惠普暗影精灵5游戏本光影精灵暗夜精灵5九代处理器惠普1660ti笔记本电脑I7,https://detail.tmall.com/item.htm?id=594569217881&ns=1&abbucket=12,惠普电脑
A16,HP/惠普星14s青春版锐龙R7-3700U窄边框ips双通道笔记本电脑轻薄便携商务办公家用学生R5-3500U银色,https://detail.tmall.com/item.htm?id=594274667511&ns=1&abbucket=12,惠普电脑
A17,hp惠普官方旗舰店官网光影精灵5暗影4精灵5代plus暗夜精灵5air学生吃鸡手提电脑游戏2019款笔记本电脑独显,https://detail.tmall.com/item.htm?id=594571866682&ns=1&abbucket=12,惠普电脑
A18,【3期免息】hp小欧14s轻薄窄边框celN4000便携手提笔记本电脑粉色适合女生学生商务办公惠普官方旗舰店官网,https://detail.tmall.com/item.htm?id=538829246497&ns=1&abbucket=12,惠普电脑
A19,惠普笔记本电脑11.6寸触摸屏轻薄便携商务办公学生电脑游戏本分期,https://item.taobao.com/item.htm?id=584164724077&ns=1&abbucket=12#detail,惠普电脑
A20,HP/惠普星14系列王源同款代言i5八代畅游人轻薄便携超薄笔记本学生商务办公独显游戏本旗舰店正品手提电脑,https://detail.tmall.com/item.htm?id=555523832960&ns=1&abbucket=12,惠普电脑
A21,HP/惠普战66G2二代14英寸轻薄便携笔记本电脑MX250独显八代四核学生学习游戏本手提电脑商务本办公本,https://detail.tmall.com/item.htm?id=590243329044&ns=1&abbucket=12,惠普电脑
A22,惠普暗影精灵5代air暗影4代proRTX2060207015.6英寸图形设计办公电竞屏吃鸡游戏学生笔记本电脑5代plus,https://detail.tmall.com/item.htm?id=594839101274&ns=1&abbucket=12,惠普电脑
A23,HP/惠普星14s—15星系列i5轻薄便携办公学生游戏手提笔记本电脑,https://item.taobao.com/item.htm?id=551271974782&ns=1&abbucket=12#detail,惠普电脑
A24,HP/惠普暗影精灵Pro暗夜精灵45代5air光影游戏本笔记本电脑,https://item.taobao.com/item.htm?id=571320270600&ns=1&abbucket=12#detail,惠普电脑
A25,惠普笔记本电脑轻薄便携商务学生全新正品14英寸2019款高清超薄本办公手提适合女生的小型库存官方旗舰店官网,https://detail.tmall.com/item.htm?id=561277061306&ns=1&abbucket=12,惠普电脑
A26,HP/惠普暗影精灵Pro暗夜精灵45代air光影i5i7游戏本笔记本电脑,https://item.taobao.com/item.htm?id=571347219972&ns=1&abbucket=12#detail,惠普电脑
A27,HP/惠普战66ProG2二代15.6英寸笔记本电脑轻薄便携学生学习手提电脑MX250独显游戏设计本办公本,https://detail.tmall.com/item.htm?id=590246525839&ns=1&abbucket=12,惠普电脑
A28,【3期免息】2019全新款hp惠普星系列青春版14英寸超轻薄便携手提电脑笔记本学生商务办公用官方旗舰店官网,https://detail.tmall.com/item.htm?id=589737565248&ns=1&abbucket=12,惠普电脑
A29,HP惠普暗影夜精灵5代AirX光影2019款学生手提笔记本电脑吃鸡游戏本I79750处理器2060独显官方旗舰店同款,https://detail.tmall.com/item.htm?id=595222750532&ns=1&abbucket=12,惠普电脑
A30,HP/惠普暗影精灵5代Plus17.3英寸酷睿9代i7/i9处理器RTX2070/20808G独显吃鸡游戏笔记本电脑144Hz72%色域,https://detail.tmall.com/item.htm?id=595623559768&ns=1&abbucket=12,惠普电脑
A31,HP/惠普笔记本电脑设计师专用电脑光影精灵CAD绘图电脑游戏本i7独显15.6寸大屏轻薄便携学生手提电脑,https://detail.tmall.com/item.htm?id=574299623354&ns=1&abbucket=12,惠普电脑
A32,HP/惠普战99G1i7-8750H设计商务办公图形显卡NVP6004G独显15.6英寸移动工作站3D建模渲染笔记本电脑,https://detail.tmall.com/item.htm?id=571554720658&ns=1&abbucket=12,惠普电脑
A33,HP/惠普星14系列MX250独显惠普笔记本轻薄本i5-8265U14英寸学生超薄8代四核处理器i7-8565U轻薄便携电脑,https://detail.tmall.com/item.htm?id=570602601454&ns=1&abbucket=12,惠普电脑
A34,HP/惠普星系列14英寸商务办公笔记本青春版独显轻薄便携学生手提笔记本电脑i5/i7女生粉色游戏本旗舰店正品,https://detail.tmall.com/item.htm?id=584650040189&ns=1&abbucket=12,惠普电脑
A35,HP/惠普暗影精灵5代游戏笔记本9代酷睿i5/i7GTX1050/1650/1660Ti独显15.6英寸学生吃鸡电脑144hz电竞屏可选,https://detail.tmall.com/item.htm?id=597232215609&ns=1&abbucket=12,惠普电脑
A36,HP/惠普OMEN幻影精灵X暗影精灵5代plus暗影5plus游戏笔记本,https://item.taobao.com/item.htm?id=563007772947&ns=1&abbucket=12#detail,惠普电脑
A37,HP/惠普战66二代ProG2轻薄便携商务办公本14笔记本电脑2019游戏本女生款超薄指纹解锁银色大学生笔记本电脑,https://detail.tmall.com/item.htm?id=594511026348&ns=1&abbucket=12,惠普电脑
A38,HP/惠普暗影精灵5代暗影精灵5Air5代plus电竞游戏笔记本电脑,https://item.taobao.com/item.htm?id=571323058784&ns=1&abbucket=12#detail,惠普电脑
A39,HP/惠普LAPTOPHP14S14英寸小欧轻薄便携商务办公学生电脑全新正品女粉色手提笔记本电脑官方旗舰店官网,https://detail.tmall.com/item.htm?id=575049510728&ns=1&abbucket=12,惠普电脑
A40,【3期免息咨询优惠】HP/惠普246G6G7轻薄便携2019款商务办公学生I5独显超薄本手提14英寸游戏本笔记本电脑,https://detail.tmall.com/item.htm?id=561022086760&ns=1&abbucket=12,惠普电脑
A41,惠普笔记本电脑触摸屏11.6寸超薄轻薄便携商务办公学生游戏本分期,https://item.taobao.com/item.htm?id=571261973019&ns=1&abbucket=12#detail,惠普电脑
